img_id,model_id,K,n,a_std,a_nostd,b_std,b_nostd,c_std,c_nostd
E1,EGNv1,4,587,0.10413800479602582,0.10771425736807885,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,EGNv2,4,587,0.13413139998543655,0.15052224118773433,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,HisToGene,4,587,0.042998271702620536,0.04498238372909796,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,Hist2ST,4,587,0.1161048076046067,0.12104386863795866,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,ST-Net,4,587,0.14703857580123353,0.21323316238443885,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,TCGN,4,587,0.11118349418686498,0.09916601100638811,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,THItoGene,4,587,0.10598702190664946,0.11191114445823039,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,genecoder_i500_j500,4,587,0.001855958452301004,-0.00935668350633056,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
E1,iStar,4,587,0.07640956600880178,0.02791584592224685,0.20338172626922338,0.1867572948370277,0.023122674029427377,0.03737988426111945
F1,DeepPT,4,691,0.0999199628089121,0.014747394977582661,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,DeepSpaCE,4,691,0.021532761178951816,0.003775318762772929,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,EGNv1,4,691,0.05548447811952195,0.058984239205816656,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,EGNv2,4,691,0.02543499162411042,0.06556124590696195,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,HisToGene,4,691,0.18413791860709774,0.1791999343291547,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,Hist2ST,4,691,0.027084482738073463,0.02398760532610903,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,ST-Net,4,691,0.20253947245133616,0.06487734847860631,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,TCGN,4,691,0.06819741481786168,0.1978293120353576,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,THItoGene,4,691,0.03317837505654843,0.029970141767393998,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,genecoder_i500_j500,4,691,0.0844370990019976,0.11392259163675889,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
F1,iStar,4,691,-0.03603900007504183,-0.030676638485931614,0.13783066406641106,0.12291890913035726,0.05203807906811285,0.04345186928431856
G2,DeepPT,7,467,0.08353337334002839,0.04608958817045768,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,DeepSpaCE,7,467,0.10627286222065961,0.07354672421273357,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,EGNv1,7,467,0.1052890461899872,0.10469138670753879,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,EGNv2,7,467,0.08359650516355843,0.10390278232099157,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,HisToGene,7,467,0.12900276602614041,0.1300295984333586,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,Hist2ST,7,467,0.02975041689980134,0.029991607107204547,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,ST-Net,7,467,0.1412122985832172,0.1299153785335673,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,TCGN,7,467,0.09307591943026569,0.060317695758876175,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,THItoGene,7,467,0.07508230525964074,0.06807985123887858,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,genecoder_i500_j500,7,467,0.0768098512276292,0.06942990268124356,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
G2,iStar,7,467,0.0645500885065982,0.07056933846940885,0.23502855268579417,0.24774660990061922,0.15714114917454244,0.15654530133538452
H1,DeepPT,7,613,0.2655265546705182,0.273942936077862,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,DeepSpaCE,7,613,0.2769264286015613,0.27856553801144995,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,EGNv1,7,613,0.2630053907077469,0.27483766538025517,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,EGNv2,7,613,0.28569649084635607,0.21408951177270508,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,HisToGene,7,613,0.23577968667198973,0.28056492754023254,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,Hist2ST,7,613,0.16211441357088427,0.15731787750027515,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,ST-Net,7,613,0.2589595869258242,0.299689118559781,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,TCGN,7,613,0.222337810347026,0.23535572028614554,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,THItoGene,7,613,0.21170990763853195,0.19759106314427827,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,genecoder_i500_j500,7,613,0.17983063574010502,0.2371152532591184,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
H1,iStar,7,613,0.1177848036276699,0.13212474300940386,0.36159560288824316,0.3399947366108712,0.1679007338210079,0.1489919756952671
